CUT Comuna,Población Total,Población en Edad de Trabajar,Personas Ocupadas,Personas Desocupadas,Mujeres en Edad de Trabajar,Mujeres Ocupadas,Mujeres Desocupadas,Hombres en Edad de trabajar,Hombres Ocupados,Hombres Desocupados
2101,361873,277774,164784,14496,138675,65280,5735,139099,99504,8761
2102,13467,10587,7422,470,4029,1959,155,6558,5463,315
2103,10186,9846,9493,133,1374,1196,28,8472,8297,105
2104,13317,10129,6767,390,4279,1993,146,5850,4774,244
2201,165731,123994,76051,6853,59119,27941,2456,64875,48110,4397
2202,321,255,207,6,88,61,1,167,146,5
2203,10996,8939,7008,246,3826,2600,96,5113,4408,150
2301,25186,18486,9839,1251,9375,3846,420,9111,5993,831
2302,6457,5333,4087,192,1808,1003,45,3525,3084,147
